pair_key,프로필,좋아하는_게임,좋아하는_게임_장르,추천_게임,추천_게임_장르,추천_게임_설명,적합도,이유태그,메모
B0066,A03,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디",Rogue Heroes: Ruins of Tasos,"액션, 어드벤처, 인디, RPG","Rogue Heroes는 최신 로그라이트 요소가 포함된 4인용의 고전적인 어드벤처 게임입니다. 친구들과 함께 무작위로 생성된 던전을 뚫고, 비밀로 가득 찬 광활한 오버월드를 탐험하며 타이탄들을 쓰러뜨리고 타소스에 다시 평화를 불러오세요!",,,
B0067,A08,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",Ash & Adam's Existential Treads,"액션, 캐주얼, 인디, 전략",A mini action city-builder in a post-post-apocalyptic world. Grow your settlement. Fend off waves of enemies. Restore nature.,,,
B0068,A08,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",Zup! S,"캐주얼, 인디",Minimal physical puzzle with explosions,,,
B0069,A13,Hardspace: Shipbreaker / Hacknet / The Case of the Golden Idol / 방 탈출 시뮬레이터 / shapez 2 - Factory,"시뮬레이션 / 인디, 시뮬레이션 / 어드벤처, 인디 / 어드벤처, 캐주얼, 인디, 시뮬레이션 / 캐주얼, 인디, 시뮬레이션, 전략",诡秘推理,"어드벤처, 인디, RPG","A narrative detective game blended with supernatural elements. Play as a rookie investigator, discover vital clues in every case, dive into unscripted interrogations and uncover truths that break minds. But with each revelation, the world feels... less human.",,,
B0070,A22,Opus Magnum,"인디, 시뮬레이션",The Last Alchemist,"어드벤처, 시뮬레이션","Master the wonders of alchemy! Solve alchemical puzzles by transforming and combining Essences. Craft items, tools and machines. Explore the enchanting world, gather peculiar resources, and befriend the Agari, adorable mushroom folk who will help you find the cure for your mysterious disease.",,,
B0071,A17,Into the Breach / Monster Train / Mini Metro,"인디, RPG, 시뮬레이션, 전략 / 전략 / 인디, 시뮬레이션, 전략",Terra Invicta 테라 인빅타,"시뮬레이션, 전략","외계인의 침략으로 인해 인류는 미래에 대한 고유한 비전을 가진 7개의 이념적 진영으로 분열되었습니다. 선택한 진영을 이끌고 지구의 국가를 장악하고, 태양계에서 세력을 확장하고, 적군 함대를 상대로 전술적 전투를 치르세요.",,,
B0072,A09,Hearts of Iron IV / Europa Universalis IV / Sid Meier's Civilization® V,"시뮬레이션, 전략 / 시뮬레이션, 전략 / 전략",Space Rangers HD: A War Apart,"액션, 어드벤처, RPG, 시뮬레이션, 전략","Space adventure, open world RPG, strategy, arcade, quest and more!",,,
B0073,A11,서브노티카 / The Long Dark / No Man's Sky,"어드벤처, 인디 / 어드벤처, 인디, 시뮬레이션, 전략 / 액션, 어드벤처",FEROCIOUS,"액션, 어드벤처, 인디","생존 FPS 모험에 빠져 보세요. 위험한 섬에 고립되어 용병, 공룡, 생생하지만 적대적인 생태계에 맞서세요. 숨 막히는 환경을 탐험하고 빠른 속도의 강렬한 맹공격으로부터 살아남으세요.",,,
B0074,A09,Hearts of Iron IV / Europa Universalis IV / Sid Meier's Civilization® V,"시뮬레이션, 전략 / 시뮬레이션, 전략 / 전략",Supreme Ruler Ultimate,"인디, 시뮬레이션, 전략","Real-Time Strategy/Wargame. From World War II through the Cold War and into the future, re-live or re-imagine the tensions and crises of our recent history! Guide your nation through the era of your choice in Campaigns, Scenarios, and Sandboxes, as you make every effort to become Supreme Ruler!",,,
B0075,A09,Hearts of Iron IV / Europa Universalis IV / Sid Meier's Civilization® V,"시뮬레이션, 전략 / 시뮬레이션, 전략 / 전략",WARNO,"액션, 인디, 시뮬레이션, 전략","Realistic, immersive, breathtaking. WARNO is the ultimate World War III battle simulator from the masters of strategy, Eugen Systems. A Cold War turns decisively hot as you command hundreds of units on a beautiful and brutal battlefield. Outsmart, outfight, and lead your forces to total victory.",,,
B0076,A06,DARK SOULS™ III / The Witcher 3: Wild Hunt / The Elder Scrolls V: Skyrim Special Edition,액션 / RPG / RPG,Golden Chambers,"액션, RPG, 앞서 해보기","생존을 위해 수단을 가리지 않아야 하는 야생의 서부에 함께 하세요. 말에게 먹이를 먹이고 관리하세요. 전쟁이 끊이지 않는 오픈 월드 세계. 스킬 및 업그레이드. 총알을 붙잡고, 모자를 먹고, 곰을 소환하세요. 리볼버 괴물까지!",,,
B0077,A23,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",Euro Truck Simulator,"인디, 시뮬레이션","The original Euro Truck Simulator - the game which has become the classic of the genre and is still relevant today. The first truck simulation game in a European setting, with European long haul trucks!",,,
B0078,A15,Stardew Valley / Slime Rancher / Raft,"인디, RPG, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션 / 어드벤처, 인디, 시뮬레이션",Under A New Sun,"어드벤처, 인디, 시뮬레이션, 앞서 해보기","While searching for a new home, an unexpected failure in your ship has left you stranded on a planet surprisingly similar to Earth. Discover a vast open world, hunt for food, develop technologies, and build yourself a new home to survive!",,,
B0079,A13,Hardspace: Shipbreaker / Hacknet / The Case of the Golden Idol / 방 탈출 시뮬레이터 / shapez 2 - Factory,"시뮬레이션 / 인디, 시뮬레이션 / 어드벤처, 인디 / 어드벤처, 캐주얼, 인디, 시뮬레이션 / 캐주얼, 인디, 시뮬레이션, 전략",The Escapists 2,"인디, 시뮬레이션, 전략","Craft, Steal, Brawl and Escape! It’s time to bust out of the toughest prisons in the world as you return to the life of an inmate in The Escapists 2, now with multiplayer! Have you got what it takes to escape?",,,
B0080,A01,Sid Meier's Civilization® V / Europa Universalis IV / Human Fall Flat,"전략 / 시뮬레이션, 전략 / 어드벤처, 캐주얼, 인디, 시뮬레이션",Building Destruction,"액션, 인디, 시뮬레이션","Multiplayer sandbox with destructible environment. Destroy different maps, build your own, and play with your friends and other people online",,,
B0081,A23,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",Jalopy,"어드벤처, 인디, 시뮬레이션","Build, repair, refuel and drive a dilapidated old car on a grand journey through the territories of the former Eastern bloc. Explore Germany, CSFR, Hungary, Yugoslavia and Bulgaria",,,
B0082,A17,Into the Breach / Monster Train / Mini Metro,"인디, RPG, 시뮬레이션, 전략 / 전략 / 인디, 시뮬레이션, 전략",Cities: Skylines II,시뮬레이션,역대 가장 현실적인 도시 건설 게임의 허허벌판에 도시를 세워 메트로폴리스로 키워보세요. 창의력과 문제 해결 능력을 한층 더 자극하게 됩니다. 정교한 시뮬레이션과 살아 숨 쉬는 경제를 활용해 제한 없이 나만의 세계를 그려보세요.,,,
B0083,A24,Garry's Mod / Team Fortress 2 / Left 4 Dead 2,"캐주얼, 인디, 시뮬레이션 / 액션, 무료 플레이 / 액션",Atom Zombie Smasher,"인디, 전략","The zombie apocalypse is upon us and it's up to you to evacuate everyone before they fall prey to the undead. Conduct massive rescue operations with a helping hand from snipers, artillery crews, orbital bombardments, and more.",,,
B0084,A08,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",Leaf's Odyssey,"캐주얼, 인디",A turn-based puzzle game with combat and exploration,,,
B0085,A16,DARK SOULS™ III / Fallout 4 / The Forest,"액션 / RPG / 액션, 어드벤처, 인디, 시뮬레이션",Funnel Runners,"액션, 인디, 시뮬레이션, 앞서 해보기","Trapped in a doomed city, you and up to 7 friends must scavenge parts, fix your van, and escape the brutal tornado that approaches. A first-person co-op survival game with escalating disasters and total environmental destruction.",,,
B0086,A11,서브노티카 / The Long Dark / No Man's Sky,"어드벤처, 인디 / 어드벤처, 인디, 시뮬레이션, 전략 / 액션, 어드벤처",Star Control I and II,"액션, 어드벤처, 인디, 전략","Explore a vast universe with pulse-pounding action, side-splitting humor, and hair-raising plot twists in these 2 classic space adventure games.",,,
B0087,A01,Sid Meier's Civilization® V / Europa Universalis IV / Human Fall Flat,"전략 / 시뮬레이션, 전략 / 어드벤처, 캐주얼, 인디, 시뮬레이션",Warnament,"인디, 시뮬레이션, 전략","턴제 대전략 게임으로, 초보자도 쉽게 플레이할 수 있지만 고수에게는 도전적인 게임입니다. 국가의 지도자가 되어 영토를 정복하고 군사·기술·문화·정치 분야에서 발전하세요. 역사적 시나리오를 선택하거나 게임 내 편집기로 나만의 시나리오를 만들어 보세요.",,,
B0088,A09,Hearts of Iron IV / Europa Universalis IV / Sid Meier's Civilization® V,"시뮬레이션, 전략 / 시뮬레이션, 전략 / 전략",Holdfast: Nations At War,"액션, 인디, 대규모 멀티플레이어, RPG, 시뮬레이션, 전략",나폴레옹 시대와 제1차 세계대전 시대를 배경으로 하는 멀티플레이어 1인칭/3인칭 슈팅 게임인 Holdfast: Nations At War에서 여러 전선에서 싸우세요. 서버당 150명이 넘는 플레이어와 함께 전장으로 뛰어드세요!,,,
B0089,A01,Sid Meier's Civilization® V / Europa Universalis IV / Human Fall Flat,"전략 / 시뮬레이션, 전략 / 어드벤처, 캐주얼, 인디, 시뮬레이션",ENDLESS Legend™ 2 엔들리스 레전드 2,"RPG, 시뮬레이션, 전략, 앞서 해보기","끊임없이 변화하는 세계에서 강력한 영웅들이 이끄는 비대칭적인 세력을 배경으로 펼쳐지는 이 전략 게임에서 승리를 향해 사람들을 이끌어보세요. ​​제국을 건설하고, 정치적 영향력을 행사하며, 위대한 군대를 일으켜 행성 깊숙이 숨겨진 어두운 비밀을 밝히기 위한 경쟁 속에서 치열한 전쟁을 펼쳐보세요.",,,
B0090,A22,Opus Magnum,"인디, 시뮬레이션",Universe Sandbox,"캐주얼, 인디, 시뮬레이션, 앞서 해보기","Create & destroy on an unimaginable scale with a realistic physics-based space simulator. Explore the beauty of our universe and the fragility of our planet. Use science to bend the laws of gravity, collide planets, boil away oceans, fire epic space lasers, and customize your universe.",,,
B0091,A01,Sid Meier's Civilization® V / Europa Universalis IV / Human Fall Flat,"전략 / 시뮬레이션, 전략 / 어드벤처, 캐주얼, 인디, 시뮬레이션",The Settlers® 7 : History Edition,전략,히스토리 에디션에서 한층 현대화된 새로운 월드를 누비며 초록빛 숲과 무성한 목초지가 주는 매력을 감상해 보십시오. 하지만 세상은 다시 바삐 돌아가게 될 겁니다. 왕국의 운명이 오로지 당신 손에 달려 있습니다. 어떤 전략을 선택하시겠습니까?,,,
B0092,A23,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",My Truck Game,"시뮬레이션, 앞서 해보기","Physics based, off road truck and bus simulation.",,,
B0093,A13,Hardspace: Shipbreaker / Hacknet / The Case of the Golden Idol / 방 탈출 시뮬레이터 / shapez 2 - Factory,"시뮬레이션 / 인디, 시뮬레이션 / 어드벤처, 인디 / 어드벤처, 캐주얼, 인디, 시뮬레이션 / 캐주얼, 인디, 시뮬레이션, 전략",Automation Empire,"인디, 시뮬레이션, 전략","Build and manage a massive industrial network of factories, mines, and farms. Employ a fleet of trains, trucks, and robotic drones. In the age of automation, efficiency is survival!",,,
B0094,A25,The Forest / 7 Days to Die / Sid Meier’s Civilization® VI,"액션, 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, RPG, 시뮬레이션, 전략 / 전략",Space Rangers HD: A War Apart,"액션, 어드벤처, RPG, 시뮬레이션, 전략","Space adventure, open world RPG, strategy, arcade, quest and more!",,,
B0095,A21,Hollow Knight / Dead Cells / Garry's Mod,"액션, 어드벤처, 인디 / 액션, 어드벤처, 인디 / 캐주얼, 인디, 시뮬레이션",Modbox,"액션, 어드벤처, 캐주얼, 인디, 시뮬레이션, 앞서 해보기",Modbox is a multiplayer game creation sandbox for Desktop+VR,,,
B0096,A22,Opus Magnum,"인디, 시뮬레이션",Cruelty Squad,"액션, 인디, 시뮬레이션",An immersive power fantasy simulator with tactical stealth elements set in a sewage infused garbage world,,,
B0097,A08,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",Wind Peaks,"어드벤처, 캐주얼, 인디","In a place called Wind Peaks, mysteries happen, help the scouts find all the missing objects in this fun and relaxing adventure of treasure hunt",,,
B0098,A13,Hardspace: Shipbreaker / Hacknet / The Case of the Golden Idol / 방 탈출 시뮬레이터 / shapez 2 - Factory,"시뮬레이션 / 인디, 시뮬레이션 / 어드벤처, 인디 / 어드벤처, 캐주얼, 인디, 시뮬레이션 / 캐주얼, 인디, 시뮬레이션, 전략",Lost Nova,"액션, 어드벤처, 인디, 시뮬레이션","Your spaceship crashed on an alien planet. Explore, salvage, craft, trade, manage and upgrade your way back home!",,,
B0099,A10,Counter-Strike 2 / PUBG: BATTLEGROUNDS / 톰 클랜시의 레인보우식스 시즈,"액션, 무료 플레이 / 액션, 어드벤처, 대규모 멀티플레이어, 무료 플레이 / 액션, 무료 플레이",Skillshot City,"액션, 인디, 무료 플레이, 앞서 해보기","Loot, shoot, cast and drive in this chaotic PvP Roguelite. Level up fast, draft wild skills, and create crazy combos on the fly. Explore a GTA-style battle royale with no queues or downtime as you prepare to win the final fight. Play solos, duos or trios with friends and climb the ranks!",,,
B0100,A21,Hollow Knight / Dead Cells / Garry's Mod,"액션, 어드벤처, 인디 / 액션, 어드벤처, 인디 / 캐주얼, 인디, 시뮬레이션",혈색 광맥,"액션, 어드벤처, 인디",외계 스웜과 메카가 등장하는 액션 로그라이트 게임. 잠복한 적들이 숨어 있는 확산되고 진화하는 세포 덩어리를 돌파하라. 게임의 판도를 바꾸는 스킬과 업그레이드를 수집해 독창적인 빌드를 완성하라.,,,
B0101,A10,Counter-Strike 2 / PUBG: BATTLEGROUNDS / 톰 클랜시의 레인보우식스 시즈,"액션, 무료 플레이 / 액션, 어드벤처, 대규모 멀티플레이어, 무료 플레이 / 액션, 무료 플레이",Total Lockdown,"액션, 어드벤처, 인디, 대규모 멀티플레이어, 무료 플레이","Total Lockdown은 거대한 마천루의 최상층에서 펼쳐지는 배틀 로얄입니다. 이 흥미진진한 슈팅 게임의 목표는 구할 수 있는 무기, 장치, 편법을 되는대로 사용하여 살아남는 것입니다. 목숨을 건 전투에서 돈과 명예를 위해 싸우십시오!",,,
B0102,A22,Opus Magnum,"인디, 시뮬레이션",Human Resource Machine,"캐주얼, 인디, 시뮬레이션",조그만 사원들을 프로그래밍해서 퍼즐을 풀게 하세요. 쓸모 있는 직원이 되세요! 기계들이 당신의 직장을... 노리고 있으니까요. 이 게임은 월드 오브 구의 디자이너와 리틀 인페르노 팀이 협력하여 만들었습니다. 열일하세요! 관리 부서에서 지켜보고 있습니다.,,,
B0103,A09,Hearts of Iron IV / Europa Universalis IV / Sid Meier's Civilization® V,"시뮬레이션, 전략 / 시뮬레이션, 전략 / 전략",Warnament,"인디, 시뮬레이션, 전략","턴제 대전략 게임으로, 초보자도 쉽게 플레이할 수 있지만 고수에게는 도전적인 게임입니다. 국가의 지도자가 되어 영토를 정복하고 군사·기술·문화·정치 분야에서 발전하세요. 역사적 시나리오를 선택하거나 게임 내 편집기로 나만의 시나리오를 만들어 보세요.",,,
B0104,A25,The Forest / 7 Days to Die / Sid Meier’s Civilization® VI,"액션, 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, RPG, 시뮬레이션, 전략 / 전략",Hand Simulator: Survival,"액션, 어드벤처, 인디, 대규모 멀티플레이어, RPG, 시뮬레이션","Wild island. Thirst and hunger. Dangerous animals and insects. The perfect place to test your survival skills, especially if you only have empty hands, especially if it is a hand simulator.",,,
B0105,A17,Into the Breach / Monster Train / Mini Metro,"인디, RPG, 시뮬레이션, 전략 / 전략 / 인디, 시뮬레이션, 전략",Future War Tactics: SOF vs Alien Invasion – Turn-Based Strategy,"어드벤처, 인디, RPG, 시뮬레이션, 전략","Future War Tactics: SOF vs Alien Invasion — 턴제 전략 게임으로, SOF 부대를 지휘하여 외계인 위협에 맞섭니다. 실종 사건을 조사하고 침략자들과 싸우며 미스터리를 밝혀내세요. 모든 결정은 인류의 운명에 영향을 미칩니다.",,,
B0106,A22,Opus Magnum,"인디, 시뮬레이션",Prison Architect,"인디, 시뮬레이션, 전략",세계에서 가장 무자비한 교도소장만이 세계에서 가장 무자비한 재소자들을 관리할 수 있습니다. Prison Architect에서 나만의 교도소를 세우고 발전시키세요.,,,
B0107,A04,Team Fortress 2 / Left 4 Dead 2 / Terraria,"액션, 무료 플레이 / 액션 / 액션, 어드벤처, 인디, RPG",Magical Drop VI,"액션, 캐주얼","Follow the story, battle a cast of whimsical characters, set new records, solve puzzles, engage your friends and family in local multiplayer, or compete against players from around the world through online play.",,,
B0108,A25,The Forest / 7 Days to Die / Sid Meier’s Civilization® VI,"액션, 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, RPG, 시뮬레이션, 전략 / 전략",Eco,"어드벤처, 인디, 시뮬레이션, 앞서 해보기","Build a civilization of real people, working together to advance society and stop a meteor, all without destroying the ecosystem in the process.",,,
B0109,A04,Team Fortress 2 / Left 4 Dead 2 / Terraria,"액션, 무료 플레이 / 액션 / 액션, 어드벤처, 인디, RPG",Zombie Survival Game Online,"액션, 어드벤처, 인디, RPG, 전략, 앞서 해보기","Zombie Survival Game Online is an open-world, post-apocalyptic, looter shooter. Craft, quest, explore, build, and fight for survival. Parkour up a mountainside, ramp a truck over a horde, and grab a gasmask to explore the sewers. Can you survive? Doubtful.",,,
B0110,A13,Hardspace: Shipbreaker / Hacknet / The Case of the Golden Idol / 방 탈출 시뮬레이터 / shapez 2 - Factory,"시뮬레이션 / 인디, 시뮬레이션 / 어드벤처, 인디 / 어드벤처, 캐주얼, 인디, 시뮬레이션 / 캐주얼, 인디, 시뮬레이션, 전략",Kara no Shojo,"어드벤처, 인디","Play as a detective tasked with catching a serial killer in this visual novel set in post-war Japan. Investigate key locations, question many complex characters, piece together clues, and try to stop the culprit before they end yet another young girl's smile.",,,
B0111,A10,Counter-Strike 2 / PUBG: BATTLEGROUNDS / 톰 클랜시의 레인보우식스 시즈,"액션, 무료 플레이 / 액션, 어드벤처, 대규모 멀티플레이어, 무료 플레이 / 액션, 무료 플레이",Counter Spell,"액션, 인디, RPG","""Counter Spell"" combines elements of classic role playing games with modern stealth-based shooters. Single player, multiplayer coop, and competitive multiplayer are all supported with different game modes for each. An open, streaming world makes for an exciting sandbox to adventure in!",,,
B0112,A22,Opus Magnum,"인디, 시뮬레이션",Outerverse,"액션, 어드벤처, 캐주얼, 인디, RPG, 시뮬레이션, 전략","Build automated machines and weapons across the universe, beat massive bosses, experience cosmic events and explore unique landmarks in this quest driven automation crafting adventure game. Includes a manual scenario for crafting instead of machines for those not a fan of logic/automation!",,,
B0113,A03,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디",BlazBlue Entropy Effect,"액션, 어드벤처, 인디","미려한 액션, 짜릿한 배틀 연출, 그리고 호쾌하게 작렬하는 다채로운 콤보! 본 작품은 여러 개성 넘치는 플레이어블 캐릭터에 다수의 능력을 조합해 성장시키는 로그라이트 게임입니다. 특징적인 액션 메커니즘과 로그가 융합되어, 매 플레이마다 새로운 액션을 선사합니다.",,,
B0114,A23,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",Truck Driver,"어드벤처, 캐주얼, 시뮬레이션",트럭 운전사로서의 경력을 쌓으세요! 다양한 화물을 운반하고 지역 사회에 이름을 알리세요. 밑바닥부터 시작하여 일을 구하고 새로운 트럭과 부품을 구입하여 최고의 트럭 운전사가 되어 보세요!,,,
B0115,A17,Into the Breach / Monster Train / Mini Metro,"인디, RPG, 시뮬레이션, 전략 / 전략 / 인디, 시뮬레이션, 전략",우주 식민 회사,"인디, 시뮬레이션, 전략","직원을 이끌고 행성을 탐험하세요! 턴제 전투에서 덱을 구성하고 직원을 배치하며, 회사의 무기를 활용해 외계인을 제압하세요. 자원을 약탈하고, 외계 식민 회사 최고의 팀으로 거듭나세요!",,,
B0116,A08,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",Gathering Sky,"어드벤처, 인디",Guide a flock of birds on a playful journey across the sky.,,,
B0117,A10,Counter-Strike 2 / PUBG: BATTLEGROUNDS / 톰 클랜시의 레인보우식스 시즈,"액션, 무료 플레이 / 액션, 어드벤처, 대규모 멀티플레이어, 무료 플레이 / 액션, 무료 플레이",Fantasy Strike,"액션, 캐주얼, 인디, 무료 플레이","A fighting game designed from the ground up to be so easy to control that even non-fighting game players can play it, yet deep enough to play in tournaments. Vibrant graphics and excellent online play.",,,
B0118,A08,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",FIND ALL 2: Middle Ages,"캐주얼, 인디","Find over 500 hidden objects across multiple levels, coloring them along the way. There is also an exciting mini-game in the game and puzzles on the treasure island.",,,
B0119,A13,Hardspace: Shipbreaker / Hacknet / The Case of the Golden Idol / 방 탈출 시뮬레이터 / shapez 2 - Factory,"시뮬레이션 / 인디, 시뮬레이션 / 어드벤처, 인디 / 어드벤처, 캐주얼, 인디, 시뮬레이션 / 캐주얼, 인디, 시뮬레이션, 전략",Detective Grimoire,"어드벤처, 인디","Detective Grimoire has been called to investigate a murder. The owner of a small tourist attraction, seemingly killed by the mythical creature his attraction is based around... Explore the area, inspect the crime scene, grill suspects, solve puzzles, hunt for clues & uncover the secret of the swamp!",,,
B0120,A22,Opus Magnum,"인디, 시뮬레이션",Crypto Mining Simulator,"캐주얼, 인디, 시뮬레이션, 전략","Realistic Mining simulator with custom builds mechanics! A lot of GPUs, CPUs, Motherboards, RAMs, SSDs, PSUs and more! Build your dream farm with 1000+ GPUs!",,,
B0121,A07,Sid Meier’s Civilization® VI / XCOM® 2 / Stellaris,"전략 / 전략 / 시뮬레이션, 전략",Galactic Civilizations III,전략,"지금까지 가장 큰 우주 기반 전략 게임에서 시간의 시험을 서 있을 문명을 구축! 수십 개의 독특한 종족 중에서 선택하고 외교, 간첩, 기술 발전 등을 통해 은하계를 가로 질러 자신의 이름을 지정하십시오.",,,
B0122,A02,Hollow Knight / Dead Cells / Celeste,"액션, 어드벤처, 인디 / 액션, 어드벤처, 인디 / 액션, 어드벤처, 인디",Astalon: 지구의 눈물,"액션, 어드벤처","죽음의 타이탄 에피메테우스와의 약속을 지키세요! 파멸이 임박한 마을을 구하는 임무를 맡은 세 명의 독특한 모험가로 뒤틀린 탑을 싸워 오르고, 헤쳐 나가세요!",,,
B0123,A03,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디",DR LIVESEY ROM AND DEATH EDITION,"액션, 어드벤처, 인디, RPG, 시뮬레이션","아하하하하하하하하하, 여러분, 이제부터 롬과 죽음은 여러분에게 같은 의미입니다.",,,
B0124,A25,The Forest / 7 Days to Die / Sid Meier’s Civilization® VI,"액션, 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, RPG, 시뮬레이션, 전략 / 전략",LIFE EFFECT Survival,"액션, 어드벤처, 인디, 앞서 해보기","Survive in a harsh and dangerous world after an alien invasion. Gather resources, craft equipment, fight mutants and massive monsters, use weapons, vehicles and robots, explore territories, defend strongholds and fight for survival.",,,
B0125,A09,Hearts of Iron IV / Europa Universalis IV / Sid Meier's Civilization® V,"시뮬레이션, 전략 / 시뮬레이션, 전략 / 전략",Making History: The Second World War,"인디, 시뮬레이션, 전략","Choose a nation and prepare for the greatest conflict in human history, World War II. Build your military and industrial power, form alliances and race to achieve the advanced technologies that will bring total victory in this global-wide turn-based Grand Strategy struggle.",,,
B0126,A13,Hardspace: Shipbreaker / Hacknet / The Case of the Golden Idol / 방 탈출 시뮬레이터 / shapez 2 - Factory,"시뮬레이션 / 인디, 시뮬레이션 / 어드벤처, 인디 / 어드벤처, 캐주얼, 인디, 시뮬레이션 / 캐주얼, 인디, 시뮬레이션, 전략",Cosmoteer: Starship Architect & Commander,"시뮬레이션, 전략, 앞서 해보기","Design and simulate the starships of your dreams! Command your ship or fleet in epic battles and manage your crew while exploring a dangerous galaxy. Play alone or with friends, test your ships in online PvP, and let your imagination reach for the stars!",,,
B0127,A09,Hearts of Iron IV / Europa Universalis IV / Sid Meier's Civilization® V,"시뮬레이션, 전략 / 시뮬레이션, 전략 / 전략",Ozymandias: Bronze Age Empire Sim,"시뮬레이션, 전략","앉은 자리에서 왕국을 이룩하세요. 일반적인 전략 시뮬레이션의 모든 것을 담았습니다. 더 빠르게 즐길 수 있고, 멀티플레이어로도 즐길 수 있습니다.",,,
B0128,A08,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",MicroTown,"인디, 전략, 앞서 해보기",Build and manage your own settlement! A relaxing village construction and management simulator.,,,
B0129,A25,The Forest / 7 Days to Die / Sid Meier’s Civilization® VI,"액션, 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, RPG, 시뮬레이션, 전략 / 전략",Funnel Runners,"액션, 인디, 시뮬레이션, 앞서 해보기","Trapped in a doomed city, you and up to 7 friends must scavenge parts, fix your van, and escape the brutal tornado that approaches. A first-person co-op survival game with escalating disasters and total environmental destruction.",,,
B0130,A12,Project Zomboid / Don't Starve / The Forest,"인디, RPG, 시뮬레이션, 앞서 해보기 / 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션",Invasion 2037,"액션, 어드벤처, 인디, 시뮬레이션, 앞서 해보기","Become a survival scientist in a savage post-apocalyptic world where aliens have the control of the world and find a cure, manage your shelter and fight to survive",,,
B0131,A23,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",Pro Gymnast Simulator,"액션, 인디, 시뮬레이션, 스포츠",THE 100% physics-based athlete simulator.,,,
