pair_key,프로필,좋아하는_게임,좋아하는_게임_장르,추천_게임,추천_게임_장르,추천_게임_설명,적합도,이유태그,메모
B0110,A05,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",Blueprint Tycoon,"캐주얼, 인디, 시뮬레이션","Build your settlement, gather goods, ensure maximum efficiency and make a profit!",,,
B0111,A14,The Forest / 7 Days to Die / Sid Meier’s Civilization® VI,"액션, 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, RPG, 시뮬레이션, 전략 / 전략",Camping Simulator: The Squad,"어드벤처, 인디, 시뮬레이션",Camping Simulator lets you experience what camp means by preparing your backpack wisely for challenging conditions of nature. You can play all the experiences with up to 8 friends in multiplayer mode or single player mode.,,,
B0112,A11,Hollow Knight / Dead Cells / Garry's Mod,"액션, 어드벤처, 인디 / 액션, 어드벤처, 인디 / 캐주얼, 인디, 시뮬레이션",Nuclear Dawn,"액션, 전략",Explore war-torn post-apocalyptic landscapes and take fight against enemies using various weapons in this FPS/RTS hybrid.,,,
B0113,A18,Project Zomboid / Don't Starve / The Forest,"인디, RPG, 시뮬레이션, 앞서 해보기 / 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션",State of Decay: YOSE,"액션, RPG, 시뮬레이션","Make your stand against the collapse of society in the ultimate zombie survival-fantasy game. Explore an open world full of dangers and opportunities that respond to your every decision. Recruit a community of playable survivors, each with their own unique skills and talents.",,,
B0114,A13,Sid Meier's Civilization® V / Europa Universalis IV / Human Fall Flat,"전략 / 시뮬레이션, 전략 / 어드벤처, 캐주얼, 인디, 시뮬레이션",City Climber,"액션, 어드벤처, 캐주얼, 인디, 시뮬레이션, 스포츠","City Climber is a silly physics-based game about a floppy ragdoll climber, who has to save the world. Find your way through diverse hand-crafted environments and enjoy funny challenges full of falling and destruction.",,,
B0115,A05,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",Last Room,"액션, 어드벤처, 캐주얼, 인디, 전략","Dive into a world of puzzles, medieval mysteries, and strategic challenges. Navigate, solve, and leap your way through a thrilling adventure.",,,
B0116,A16,DARK SOULS™ III / The Witcher 3: Wild Hunt / The Elder Scrolls V: Skyrim Special Edition,액션 / RPG / RPG,Wall World,"액션, 어드벤처, 인디, 전략","거대한 로보스파이더를 타고 신비로운 세계의 벽을 탐험해보세요: 귀중한 자원을 채굴하고, 장비를 업그레이드하여 수많은 괴물들을 물리치고, 전투 중간에 매력적인 생물군을 발견할 수 있습니다. 여러분은 살아남아 세계의 벽이 가진 비밀을 알아낼 수 있을까요?",,,
B0117,A19,Garry's Mod / Team Fortress 2 / Left 4 Dead 2,"캐주얼, 인디, 시뮬레이션 / 액션, 무료 플레이 / 액션",Solar 2,"액션, 어드벤처, 캐주얼, 인디, 시뮬레이션",Dynamic abstract sandbox universe. Changes and evolves as you do.,,,
B0118,A05,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",Nyasha,"캐주얼, 인디",The game is a classic puzzle with three levels of difficulty.,,,
B0119,A05,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",Zup!,"캐주얼, 인디",Minimal physical puzzle with explosions,,,
B0120,A10,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디",Biped 2,"액션, 어드벤처, 캐주얼, 인디, 레이싱, 시뮬레이션, 전략","사랑스러운 로봇들의 퍼즐 액션-어드벤처 게임! 미지의 행성을 탐험하고, 1인에서 최대 4인 협동전을 체험해 보세요!",,,
B0121,A26,Counter-Strike 2 / PUBG: BATTLEGROUNDS / 톰 클랜시의 레인보우식스 시즈,"액션, 무료 플레이 / 액션, 어드벤처, 대규모 멀티플레이어, 무료 플레이 / 액션, 무료 플레이",Battlezone 98 Redux,"액션, 전략","One of the greatest sci-fi strategy games of all time returns with remastered visuals, online multiplayer and near unlimited mod content from Steam Workshop. Experience thrilling first person action and acclaimed RTS in this explosive alternate vision of the 1960s space race.",,,
B0122,A21,Into the Breach / Monster Train / Mini Metro,"인디, RPG, 시뮬레이션, 전략 / 전략 / 인디, 시뮬레이션, 전략",Monster Slayers,"액션, 인디",Monster Slayers is a rogue-like deck-building RPG adventure. Create a hero and choose your path through the perilous Northern Valley as you battle to become a true Monster Slayer.,,,
B0123,A13,Sid Meier's Civilization® V / Europa Universalis IV / Human Fall Flat,"전략 / 시뮬레이션, 전략 / 어드벤처, 캐주얼, 인디, 시뮬레이션",Dice Kingdoms,"인디, 전략","Compete against friends in games filled with unpredictable twists and turns. Roll the dice to gather resources and test your adaptability. Lead your kingdom to success through military power, religious knowledge, or architectural ingenuity.",,,
B0124,A07,Hardspace: Shipbreaker / Hacknet / The Case of the Golden Idol / 방 탈출 시뮬레이터 / shapez 2 - Factory,"시뮬레이션 / 인디, 시뮬레이션 / 어드벤처, 인디 / 어드벤처, 캐주얼, 인디, 시뮬레이션 / 캐주얼, 인디, 시뮬레이션, 전략",방 탈출 시뮬레이터2,"어드벤처, 캐주얼, 인디, 시뮬레이션","많은 인기를 끈 방 탈출 게임의 후속작으로, 혼자 또는 친구와 함께 탐험할 수 있는 다양하고 새로운 방을 통해 일인칭 퍼즐을 새롭게 해석합니다. 방 편집기 2.0으로 복잡한 퍼즐을 풀거나, 숨겨진 비밀을 파헤치거나, 나만의 방을 만들어 보세요.",,,
B0125,A07,Hardspace: Shipbreaker / Hacknet / The Case of the Golden Idol / 방 탈출 시뮬레이터 / shapez 2 - Factory,"시뮬레이션 / 인디, 시뮬레이션 / 어드벤처, 인디 / 어드벤처, 캐주얼, 인디, 시뮬레이션 / 캐주얼, 인디, 시뮬레이션, 전략",FOUNDRY,"인디, 시뮬레이션, 전략, 앞서 해보기","무한한 복셀 세계에서 완벽하게 최적화된 공장 또는 아름다운 예술 작품을 건설하세요. FOUNDRY에서 자원을 채굴 및 수집하고, 계속해서 확장되는 생산 라인을 자동화하고, 복잡한 시스템을 관리하며 기계를 완벽하게 마스터할 방법을 연구해 보세요.",,,
B0126,A18,Project Zomboid / Don't Starve / The Forest,"인디, RPG, 시뮬레이션, 앞서 해보기 / 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션",Andarilho,"액션, 어드벤처, 캐주얼, 인디, 시뮬레이션","You are a guy with a backpack, just try to stay alive!",,,
B0127,A15,No Man's Sky / 서브노티카 / Slime Rancher,"액션, 어드벤처 / 어드벤처, 인디 / 액션, 어드벤처, 인디, 시뮬레이션",Farworld Pioneers,"액션, 어드벤처, 인디, 시뮬레이션","오픈월드 sci-fi 샌드박스 게임. 혼자서도, 친구와 함께도 멀티플레이로 탐험하고, 외계 행성에 식민지를 건설 & 관리하고, 독특한 개성과 기술을 가진 AI 생존자를 모집하세요. 다 함께 제작, 건설, 채굴, 농사를 짓거나 레이저 소총을 등에 메고 은하계에 맞서 싸우세요!",,,
B0128,A19,Garry's Mod / Team Fortress 2 / Left 4 Dead 2,"캐주얼, 인디, 시뮬레이션 / 액션, 무료 플레이 / 액션",Castaway Paradise - live among the animals,"어드벤처, 캐주얼, 인디, RPG, 시뮬레이션","It's the ultimate Sandbox sim! Farm, catch bugs, talk to villagers, build your own tropical dream island! If you like Animal Crossing, Among Us, or Harvest Moon, you will love this game!",,,
B0129,A07,Hardspace: Shipbreaker / Hacknet / The Case of the Golden Idol / 방 탈출 시뮬레이터 / shapez 2 - Factory,"시뮬레이션 / 인디, 시뮬레이션 / 어드벤처, 인디 / 어드벤처, 캐주얼, 인디, 시뮬레이션 / 캐주얼, 인디, 시뮬레이션, 전략",The Escape: Together,"액션, 인디, 앞서 해보기",The Escape: Together is a 1-3 player Online CO-OP escape horror. The paranormal creature has taken over the house. You must use everything you find to survive and make your runaway.,,,
B0130,A16,DARK SOULS™ III / The Witcher 3: Wild Hunt / The Elder Scrolls V: Skyrim Special Edition,액션 / RPG / RPG,The Witcher Adventure Game,"어드벤처, 전략",'더 위쳐 어드벤처 게임'은 괴물 사냥꾼인 리비아의 게롤트의 잔혹한 판타지 세계를 바탕으로 펼쳐지는 CD프로젝트레드의 보드게임을 디지털로 구현한 것입니다. 잔혹하면서도 아름다운 세계를 돌아다니며 위험천만한 야수들을 사냥하고 고대 미스터리를 푸는 등 다양한 퀘스트를 완수하세요.,,,
B0131,A05,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",TerraScape,"캐주얼, 인디, 시뮬레이션, 전략","이 아늑한 도시 퍼즐 게임에서 건물을 전략적으로 배치하여 떠다니는 섬에 멋진 왕국을 세워보세요. 다양한 싱글 및 멀티플레이 게임 모드에서 비밀 조합을 발견하고, 주간 챌린지에 도전하고, 무작위로 생성된 맵을 탐험해 보세요.",,,
B0132,A02,Sid Meier’s Civilization® VI / XCOM® 2 / Stellaris,"전략 / 전략 / 시뮬레이션, 전략",Company of Heroes - Legacy Edition,"액션, 전략","실감 나는 제2차 세계 대전 게임인 Company of Heroes는 영웅적인 병사의 희생과 전쟁으로 파괴된 지역 그리고 역동적인 전장에 생명을 불어넣은 차세대 실시간 전략 게임입니다. 이 레거시 버전은 ""Company of Heroes""라 부르는 COH의 최신 버전을 이용할 수 있게 해줍니다.",,,
B0133,A26,Counter-Strike 2 / PUBG: BATTLEGROUNDS / 톰 클랜시의 레인보우식스 시즈,"액션, 무료 플레이 / 액션, 어드벤처, 대규모 멀티플레이어, 무료 플레이 / 액션, 무료 플레이",Insurgency,"액션, 인디, 전략","Take to the streets for intense close quarters combat, where a team's survival depends upon securing crucial strongholds and destroying enemy supply in this multiplayer and cooperative Source Engine based experience.",,,
B0134,A15,No Man's Sky / 서브노티카 / Slime Rancher,"액션, 어드벤처 / 어드벤처, 인디 / 액션, 어드벤처, 인디, 시뮬레이션",WILL: Follow The Light,"어드벤처, 인디",끝없는 바다를 항해하며 사랑하는 사람들에게 돌아갈 길을 찾는 일인칭 싱글 플레이어 여정. 혹독한 북쪽 바다를 배경으로 펼쳐지는 사실적인 모험에 빠져 보세요. 여러분은 과연 빛을 따라갈까요?,,,
B0135,A16,DARK SOULS™ III / The Witcher 3: Wild Hunt / The Elder Scrolls V: Skyrim Special Edition,액션 / RPG / RPG,PAYDAY™ The Heist,액션,"Take on the role of a hardened career criminal executing intense, dynamic heists in constant pursuit of the next “big score”",,,
B0136,A08,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",아세토 코르사 컴페티치오네 Assetto Corsa Competizione,"레이싱, 시뮬레이션, 스포츠","아세토 코르사 컴페티치오네는 새로운 공식 GT 월드 챌린지 비디오 게임입니다. 탁월한 시뮬레이션 품질을 자랑하는 본 게임에서는 정교하게 재현된 공식 드라이버, 팀, 차, 서킷을 상대로 경쟁하는 FIA GT3 챔피언십의 실제 분위기를 만끽할 수 있습니다.",,,
B0137,A26,Counter-Strike 2 / PUBG: BATTLEGROUNDS / 톰 클랜시의 레인보우식스 시즈,"액션, 무료 플레이 / 액션, 어드벤처, 대규모 멀티플레이어, 무료 플레이 / 액션, 무료 플레이",Battlefield 3™,액션,"원하는 대로 싸우는 완전한 자유를 즐기세요. 29가지 거대한 멀티플레이어 전장을 탐험하고, 다양한 탑승장비, 무기 및 보조장비를 사용해 기세를 강화하세요. 전투의 매 순간마다 대량의 추가 콘텐츠가 해제되고 계급이 올라갑니다. 지금 바로 시작하세요.",,,
B0138,A10,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디",Crown Trick / 不思议的皇冠,"어드벤처, 인디, RPG, 전략",여러분을 따라 움직이는 미로 속에서 원소를 다스리는 것이 몬스터를 물리치고 지하 세계의 비밀을 파헤칠 수 있는 유일한 열쇠입니다. 왕관으로 더 강력해진 힘을 발휘해보세요!,,,
B0139,A06,서브노티카 / The Long Dark / No Man's Sky,"어드벤처, 인디 / 어드벤처, 인디, 시뮬레이션, 전략 / 액션, 어드벤처",Grim Realms,"인디, 시뮬레이션, 전략","언데드가 들끓는 다크 판타지 세계에 당신만의 정착지를 건설하세요. 다가오는 '공포의 폭풍(Dread Storm)'을 종식시켜 인류를 구원할 것인지, 아니면 어둠의 힘을 직접 다루게 될 것인지는 당신의 선택에 달렸습니다. 생존을 위해 처절하게 사투를 벌이는 주민들을 이끄십시오.",,,
B0140,A11,Hollow Knight / Dead Cells / Garry's Mod,"액션, 어드벤처, 인디 / 액션, 어드벤처, 인디 / 캐주얼, 인디, 시뮬레이션",Cataclysm: Dark Days Ahead,"어드벤처, RPG","카타클리즘: 다크 데이즈 어헤드는 모던 로그라이크를 대표하는 좀비 생존 게임입니다. 턴제 방식의 게임 플레이와 RPG 스킬 시스템으로 로그라이크 장르를 새로운 방식으로 개척했습니다. 자원을 수집하고, 적들과 싸우고, 차량을 구해 세상을 탐험하거나, 은신처를 만들어 살아남으세요.",,,
B0141,A14,The Forest / 7 Days to Die / Sid Meier’s Civilization® VI,"액션, 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, RPG, 시뮬레이션, 전략 / 전략",Dying Light,"액션, 어드벤처, RPG","종말 이후 굶주린 좀비가 넘쳐나는 오픈 월드를 배경으로 펼쳐지는 1인칭 액션 생존 게임을 즐겨보세요. 여러분은 수수께끼의 바이러스 전염에 의해 몰락한 도시를 탐험하며 물자를 찾고, 무기를 제작하여 감염된 생명체 무리들을 상대해야 합니다.",,,
B0142,A14,The Forest / 7 Days to Die / Sid Meier’s Civilization® VI,"액션, 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, RPG, 시뮬레이션, 전략 / 전략",Hiveswap Friendsim,"어드벤처, 인디, RPG, 시뮬레이션","You’ve crash landed on a dangerous alien planet with no food, medicine, or prospects, but you do know one thing—you are absolutely desperate for friendship.",,,
B0143,A10,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디",The Messenger,"액션, 인디","악마의 군단이 에워싼 마을의 젊은 닌자가 일족의 생존을 위해 두루마리를 전달하는 임무를 부여받고 이 저주받은 세계를 모험합니다. 짜릿함과 놀라움, 그리고 공포로 가득 찬 시간여행 액션 플랫포머 어드벤처를 경험해보세요.",,,
B0144,A26,Counter-Strike 2 / PUBG: BATTLEGROUNDS / 톰 클랜시의 레인보우식스 시즈,"액션, 무료 플레이 / 액션, 어드벤처, 대규모 멀티플레이어, 무료 플레이 / 액션, 무료 플레이",WARMODE,"액션, 무료 플레이","Free to play shooter about the confrontation of two irreconcilable sides, represented by the government military housings and the armed hirelings. Try your hand at virtual battles with off-scale dynamics and hurricane gameplay in the spirit of the classical shooters.",,,
B0145,A10,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디",Return to abyss 重返深渊,"액션, 어드벤처, 인디","Return to Abyss is a mowing survival game with Rogue-Lite elements, upgrade your weapons and use your fighting skills to fight through over 10,000 monsters on screen until defeat the culprit who brought chaos!",,,
B0146,A20,Team Fortress 2 / Left 4 Dead 2 / Terraria,"액션, 무료 플레이 / 액션 / 액션, 어드벤처, 인디, RPG",Worms Ultimate Mayhem,전략,Load your weapons and experience a whole new dimension in destructive turn-based cartoon action!,,,
B0147,A17,Hollow Knight / Dead Cells / Celeste,"액션, 어드벤처, 인디 / 액션, 어드벤처, 인디 / 액션, 어드벤처, 인디",가이더스 제로,"액션, 어드벤처, 인디, 전략",가이더스 제로는 실시간 그리드 액션 로그라이크 게임입니다. 대륙에 생겨난 미지의 싱크홀 '상처'를 탐험하며 신비로운 정령들과 보물상자를 찾아보세요. 그리고 어둠에 침식된 적들과 강력한 보스를 물리치고 상처의 최하층에 도달해보세요. 재앙의 원인이 기다리고 있습니다.,,,
B0148,A07,Hardspace: Shipbreaker / Hacknet / The Case of the Golden Idol / 방 탈출 시뮬레이터 / shapez 2 - Factory,"시뮬레이션 / 인디, 시뮬레이션 / 어드벤처, 인디 / 어드벤처, 캐주얼, 인디, 시뮬레이션 / 캐주얼, 인디, 시뮬레이션, 전략",Space Rogue,"인디, 시뮬레이션, 전략","Take on the role of a spaceship captain. Explore new worlds, and engage in intense ship-to-ship battles. Develop unique battle tactics, upgrade your ship, and recruit crew members as you fight for peace or piracy.",,,
B0149,A10,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디",30XX,"액션, 인디","친구와 함께 즐길 수 있는 로그라이트 액션 플래포머, 30XX로 뛰고, 쏘고, 베며 앞으로 나아가세요! 화끈한 전투와 정밀한 플랫폼이 하나로 섞인, 끝없이 변화하는 멋진 세계들을 탐험하세요. 무시무시한 가디언들을 무찌르세요. 그들의 독특한 힘을 마스터하세요. 잃어버린 천 년을 재발견하세요.",,,
B0150,A06,서브노티카 / The Long Dark / No Man's Sky,"어드벤처, 인디 / 어드벤처, 인디, 시뮬레이션, 전략 / 액션, 어드벤처",Sheltered 2,"인디, RPG, 시뮬레이션, 전략","포스트 아포칼립스적인 황무지를 무대로 잔혹한 생존 관리 시뮬레이션이 펼쳐집니다. 여러분의 생존자 무리를 살려 두고, 피난처를 보전하고, 이 황폐한 세계에서 어떻게든 자원을 확보하십시오. 상대 진영과 친분을 맺고 교역하거나 상대를 무력으로 정복하세요.",,,
B0151,A22,Opus Magnum,"인디, 시뮬레이션",Last Call BBS,"인디, 시뮬레이션",Z5 Powerlance에 시동을 걸고 Zachtronics의 마지막 게임인 Last Call BBS에 빠져 보세요! Barkeep이 여러분을 위해 레트로 컴퓨터에 퍼즐 게임 풀 세트를 가득 담았습니다. 복사 방지를 걱정할 필요는 없어요. 이미 다 크랙되어 있고 즐기기만 하면 됩니다!,,,
B0152,A13,Sid Meier's Civilization® V / Europa Universalis IV / Human Fall Flat,"전략 / 시뮬레이션, 전략 / 어드벤처, 캐주얼, 인디, 시뮬레이션",Knights of Honor II: Sovereign,"시뮬레이션, 전략","새로 탄생한 실시간 중세 대전략 게임에서 국왕이 되어 유럽의 패권을 놓고 다투십시오. 지역을 관리하고, 군대를 소집하고, 외교를 시행하고 치열한 첩보 활동에 뛰어드십시오. 가능성은 무궁무진합니다. 국민들이 우러러보는 진정한 군주가 되어 영광의 시대로 인도하십시오.",,,
B0153,A20,Team Fortress 2 / Left 4 Dead 2 / Terraria,"액션, 무료 플레이 / 액션 / 액션, 어드벤처, 인디, RPG",Duelists of Eden,"액션, 인디",Build a deck and battle online in real-time action with rollback netcode!,,,
B0154,A15,No Man's Sky / 서브노티카 / Slime Rancher,"액션, 어드벤처 / 어드벤처, 인디 / 액션, 어드벤처, 인디, 시뮬레이션",Subterror,"액션, 어드벤처, 인디","Explore abandoned biospheres at the bottom of the ocean, alone or with up to 4 friends.",,,
B0155,A18,Project Zomboid / Don't Starve / The Forest,"인디, RPG, 시뮬레이션, 앞서 해보기 / 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션",Flesh Eaters,"액션, 어드벤처, 인디, RPG, 시뮬레이션","Flesh Eaters is retro style single player RTS zombie survival game with resource gathering and crafting. Zombies are everywhere! You must gather resources to build barricades, upgrade weapons and armour and explore the city under the siege of the dead",,,
B0156,A22,Opus Magnum,"인디, 시뮬레이션",Mega Mosaic,캐주얼,Mega Mosaic is a meditative game about completing a single enormous puzzle,,,
B0157,A12,Euro Truck Simulator 2 / 아세토 코르사 Assetto Corsa / Left 4 Dead 2,"인디, 시뮬레이션 / 인디, 레이싱, 시뮬레이션, 스포츠 / 액션",Trapped Dead,"액션, 전략",You and up to three friends fight to survive the Zombie outbreak in this game inspired by early '80s horror films!,,,
B0158,A08,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",LOTUS-Simulator,"인디, 시뮬레이션, 앞서 해보기","For the first time, bus, tram and train are simulated extremely realistic in a single game – and you can drive them, build them or create the world around. LOTUS – simulation will never be the same!",,,
B0159,A25,Raft / Stardew Valley / Counter-Strike 2,"어드벤처, 인디, 시뮬레이션 / 인디, RPG, 시뮬레이션 / 액션, 무료 플레이",Half-Life 2: Deathmatch,액션,Half-Life 2 세계에서 펼쳐지는 박진감 넘치는 멀티플레이어 액션! 현실감 있는 플레이로 데스매치 플레이가 한 단계 진화했습니다. 일반 데스매치 플레이를 하거나 콤바인 대 저항군 팀플레이에 도전해 보세요. 지금 바로 친구를 불러 함께 플레이하세요!,,,
B0160,A09,Hearts of Iron IV / Europa Universalis IV / Sid Meier's Civilization® V,"시뮬레이션, 전략 / 시뮬레이션, 전략 / 전략",Strategic Mind: Blitzkrieg,"시뮬레이션, 전략",Strategic Mind: Blitzkrieg는 과거 워게임 장르에 현대적 그래픽과 새로운 기능들을 가미한 2차 세계대전 배경의 턴제 전략 게임입니다. 여러분은 독일 국방군을 이끌어 압도적으로 강한 적수들과 맞서 유럽 대륙에서 최후의 승리를 쟁취해야 합니다. 전격전을 준비하십시오!,,,
B0161,A13,Sid Meier's Civilization® V / Europa Universalis IV / Human Fall Flat,"전략 / 시뮬레이션, 전략 / 어드벤처, 캐주얼, 인디, 시뮬레이션",Songs of Silence,"어드벤처, 인디, RPG, 시뮬레이션, 전략",군대를 이끌고 몰락한 왕국을 재건하여 위대함에 도달하세요! 시각적으로 놀라운 세계에서 전략적인 서사적 여정을 시작하세요. 치열한 전투를 치르고 매혹적인 이야기를 밝혀내세요.,,,
B0162,A10,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디",Feel The Snow,"액션, 어드벤처, 인디, 대규모 멀티플레이어, RPG, 시뮬레이션","Choose one of the characters and start your journey. The game has many interesting things in store: building, crafting, puzzles, bosses, mystery, laughs, quests etc.",,,
B0163,A19,Garry's Mod / Team Fortress 2 / Left 4 Dead 2,"캐주얼, 인디, 시뮬레이션 / 액션, 무료 플레이 / 액션",Game Corp DX,"인디, 시뮬레이션","Manage your Game Studio, earn big bucks, impress the critics, beat rival studios and clean up at the awards!",,,
B0164,A15,No Man's Sky / 서브노티카 / Slime Rancher,"액션, 어드벤처 / 어드벤처, 인디 / 액션, 어드벤처, 인디, 시뮬레이션",Arthas - The Game,"액션, 어드벤처",A great game about a Great man!,,,
B0165,A22,Opus Magnum,"인디, 시뮬레이션",카이젠: 팩토리 스토리,"시뮬레이션, 전략",카이젠은 Zachtronics 원년 멤버가 제작한 개방형 퍼즐 자동화 게임입니다. 1980년대 일본에서 생산 라인을 설계·구축·개선해 계산기·캠코더·오락기 등 상징적 제품을 생산하세요.,,,
B0166,A01,DARK SOULS™ III / Fallout 4 / The Forest,"액션 / RPG / 액션, 어드벤처, 인디, 시뮬레이션",House of Detention,"액션, 어드벤처, 인디, 대규모 멀티플레이어, RPG, 시뮬레이션, 스포츠, 전략","딥 플롯, 많은 캐릭터, 훌륭한 음향 효과 및 리얼 던전의 소름 끼치는 분위기가있는 독특한 공포. 탈의실, 체육관, 다양한 몬스터, 분위기있는 음악, 밈 스크롤, 때리기의 속눈썹 등!",,,
B0167,A16,DARK SOULS™ III / The Witcher 3: Wild Hunt / The Elder Scrolls V: Skyrim Special Edition,액션 / RPG / RPG,트리거 소녀,"어드벤처, 캐주얼, RPG, 전략","보물 사냥꾼 인 아오이와 샐리는 탐험 중에 동굴을 발견했습니다. 그들은 그 안에 보물을 예견합니다. 그래서 들어가서 살펴보기로 결정했습니다. 예기치 않게, 이것은 촉수 동굴입니다.",,,
B0168,A18,Project Zomboid / Don't Starve / The Forest,"인디, RPG, 시뮬레이션, 앞서 해보기 / 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션",Zombie Party,"액션, 어드벤처, 인디, RPG","Zombie Party is a retro rampage of fun and over-the-top action, while still giving the players a deep and engaging Action-RPG Rogue-like experience! Go on a time traveling adventure, or delve deep into procedural dungeons full of gold, loot, and secrets!",,,
B0169,A21,Into the Breach / Monster Train / Mini Metro,"인디, RPG, 시뮬레이션, 전략 / 전략 / 인디, 시뮬레이션, 전략",Metro Simulator 2,"인디, 시뮬레이션",Metro Simulator 2 is a unique game featuring recreated Moscow Metro and realistic train controls.,,,
B0170,A08,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",Derail Valley,"어드벤처, 인디, 시뮬레이션, 앞서 해보기",Drive massive trains and build your career in a vast open railway network. For both PC and VR.,,,
B0171,A21,Into the Breach / Monster Train / Mini Metro,"인디, RPG, 시뮬레이션, 전략 / 전략 / 인디, 시뮬레이션, 전략",Dobbel Dungeon,"인디, RPG, 전략","로그라이크 턴제 전략 RPG 게임에서 파티를 모으고, 주사위를 굴리고, 섬을 가로질러 전투를 하며 강력한 저주를 완전히 끝내세요!",,,
B0172,A23,The Witcher 3: Wild Hunt / The Elder Scrolls V: Skyrim Special Edition / BeamNG.drive,"RPG / RPG / 레이싱, 시뮬레이션, 앞서 해보기",ACTION SANDBOX,시뮬레이션,"A physics sandbox game for people who like to play with digital toys. Create, control toys and define your goals.",,,
